monitor,channels,failure_class,n_injected,detection_rate,median_delay,median_lead,mean_lead_all
esn_full,"e,u,m",goal_drift,80,0.025,5.0,14.0,0.35
esn_full,"e,u,m",looping,80,0.8,8.0,6.0,5.15
esn_full,"e,u,m",tool_cascade,80,0.9625,2.0,11.0,9.95
esn_full,"e,u,m",grounding_loss,80,0.025,6.5,10.0,0.25
esn_full,"e,u,m",context_corruption,80,0.7875,3.0,9.0,6.7125
esn[e],e,goal_drift,80,0.0,,,0.0
esn[e],e,looping,80,0.9625,4.0,9.0,8.5375
esn[e],e,tool_cascade,80,0.9875,3.0,10.0,9.9875
esn[e],e,grounding_loss,80,0.0,,,0.0
esn[e],e,context_corruption,80,0.95,2.0,11.0,10.6125
esn[u],u,goal_drift,80,0.0375,8.0,3.0,0.125
esn[u],u,looping,80,0.0125,17.0,1.0,0.0125
esn[u],u,tool_cascade,80,0.025,6.0,6.5,0.1625
esn[u],u,grounding_loss,80,0.8875,6.0,7.0,6.575
esn[u],u,context_corruption,80,0.775,5.5,7.0,5.6625
esn[m],m,goal_drift,80,0.025,5.0,14.0,0.35
esn[m],m,looping,80,0.05,10.0,6.0,0.3375
esn[m],m,tool_cascade,80,0.9875,3.0,10.0,9.7125
esn[m],m,grounding_loss,80,0.0,,,0.0
esn[m],m,context_corruption,80,0.1125,10.0,4.0,0.425
"esn[e,u]","e,u",goal_drift,80,0.0,,,0.0
"esn[e,u]","e,u",looping,80,0.9625,5.0,9.0,8.425
"esn[e,u]","e,u",tool_cascade,80,0.9875,3.0,10.0,10.0625
"esn[e,u]","e,u",grounding_loss,80,0.15,6.0,3.0,0.625
"esn[e,u]","e,u",context_corruption,80,1.0,2.0,12.0,11.425
esn_cusum,"e,u,m",goal_drift,80,0.025,0.0,15.5,0.3875
esn_cusum,"e,u,m",looping,80,0.975,7.0,7.0,6.9
esn_cusum,"e,u,m",tool_cascade,80,0.9625,3.0,10.0,9.7875
esn_cusum,"e,u,m",grounding_loss,80,0.2625,12.0,1.0,0.8
esn_cusum,"e,u,m",context_corruption,80,1.0,3.0,10.0,9.875
esn_cusum[e],e,goal_drift,80,0.025,9.5,6.0,0.15
esn_cusum[e],e,looping,80,0.9875,6.0,8.0,8.1625
esn_cusum[e],e,tool_cascade,80,1.0,4.0,9.0,9.275
esn_cusum[e],e,grounding_loss,80,0.0125,16.0,2.0,0.025
esn_cusum[e],e,context_corruption,80,0.9875,3.0,10.0,9.95
esn_cusum[u],u,goal_drift,80,0.0,,,0.0
esn_cusum[u],u,looping,80,0.0,,,0.0
esn_cusum[u],u,tool_cascade,80,0.0125,6.0,4.0,0.05
esn_cusum[u],u,grounding_loss,80,0.975,7.0,7.0,6.925
esn_cusum[u],u,context_corruption,80,0.8625,7.0,6.0,5.4
esn_cusum[m],m,goal_drift,80,0.0125,15.0,3.0,0.0375
esn_cusum[m],m,looping,80,0.2125,12.0,3.0,0.7625
esn_cusum[m],m,tool_cascade,80,0.9875,3.0,9.0,9.15
esn_cusum[m],m,grounding_loss,80,0.0,,,0.0
esn_cusum[m],m,context_corruption,80,0.7875,10.0,3.0,3.0875
"esn_cusum[e,u]","e,u",goal_drift,80,0.0125,2.0,9.0,0.1125
"esn_cusum[e,u]","e,u",looping,80,0.9875,6.0,7.0,7.6875
"esn_cusum[e,u]","e,u",tool_cascade,80,0.975,4.0,9.0,9.0
"esn_cusum[e,u]","e,u",grounding_loss,80,0.25,10.0,2.0,0.6875
"esn_cusum[e,u]","e,u",context_corruption,80,0.9875,3.0,10.0,9.975
esn_cusum_max,"max(e,u,m)",goal_drift,80,0.0125,13.0,5.0,0.0625
esn_cusum_max,"max(e,u,m)",looping,80,0.75,10.0,5.0,3.9125
esn_cusum_max,"max(e,u,m)",tool_cascade,80,0.9875,3.0,9.0,9.175
esn_cusum_max,"max(e,u,m)",grounding_loss,80,0.9125,10.0,4.0,3.8125
esn_cusum_max,"max(e,u,m)",context_corruption,80,0.95,7.0,5.5,5.4125
self_drift,e (self-consistency),goal_drift,80,0.4125,9.0,5.0,2.175
self_drift,e (self-consistency),looping,80,0.0,,,0.0
self_drift,e (self-consistency),tool_cascade,80,0.0,,,0.0
self_drift,e (self-consistency),grounding_loss,80,0.025,9.0,4.5,0.1125
self_drift,e (self-consistency),context_corruption,80,0.4625,6.0,8.0,3.4875
