monitor,channels,failure_class,n_injected,detection_rate,median_delay,median_lead,mean_lead_all
esn_full,"e,u,m",goal_drift,80,0.0125,0.0,14.0,0.175
esn_full,"e,u,m",looping,80,0.625,8.0,5.0,3.3375
esn_full,"e,u,m",tool_cascade,80,0.9875,3.0,11.0,10.7875
esn_full,"e,u,m",grounding_loss,80,0.05,6.5,8.0,0.45
esn_full,"e,u,m",context_corruption,80,0.7125,3.0,9.0,6.8375
esn[e],e,goal_drift,80,0.0,,,0.0
esn[e],e,looping,80,0.9375,4.0,10.0,8.8
esn[e],e,tool_cascade,80,1.0,3.0,11.0,10.8
esn[e],e,grounding_loss,80,0.0,,,0.0
esn[e],e,context_corruption,80,0.9625,2.0,12.0,11.3625
esn[u],u,goal_drift,80,0.0125,9.0,2.0,0.025
esn[u],u,looping,80,0.0,,,0.0
esn[u],u,tool_cascade,80,0.0,,,0.0
esn[u],u,grounding_loss,80,0.9375,6.0,7.0,6.1875
esn[u],u,context_corruption,80,0.5875,6.0,7.0,4.0875
esn[m],m,goal_drift,80,0.025,6.5,7.0,0.175
esn[m],m,looping,80,0.0375,2.0,17.0,0.5375
esn[m],m,tool_cascade,80,1.0,3.0,10.0,10.55
esn[m],m,grounding_loss,80,0.025,9.5,6.5,0.1625
esn[m],m,context_corruption,80,0.1,8.5,5.0,0.4625
"esn[e,u]","e,u",goal_drift,80,0.0,,,0.0
"esn[e,u]","e,u",looping,80,0.9375,4.0,9.0,8.7875
"esn[e,u]","e,u",tool_cascade,80,1.0,3.0,11.0,10.775
"esn[e,u]","e,u",grounding_loss,80,0.0625,7.0,3.0,0.225
"esn[e,u]","e,u",context_corruption,80,0.975,2.0,12.0,11.5625
esn_cusum,"e,u,m",goal_drift,80,0.0125,1.0,13.0,0.1625
esn_cusum,"e,u,m",looping,80,0.9375,7.0,7.0,6.7
esn_cusum,"e,u,m",tool_cascade,80,1.0,3.0,10.0,10.7
esn_cusum,"e,u,m",grounding_loss,80,0.175,8.0,4.5,0.8875
esn_cusum,"e,u,m",context_corruption,80,1.0,3.0,10.0,10.375
esn_cusum[e],e,goal_drift,80,0.0125,6.0,13.0,0.1625
esn_cusum[e],e,looping,80,0.9625,6.0,8.0,7.8875
esn_cusum[e],e,tool_cascade,80,0.9875,4.0,10.0,9.7625
esn_cusum[e],e,grounding_loss,80,0.0,,,0.0
esn_cusum[e],e,context_corruption,80,1.0,3.0,10.0,10.3625
esn_cusum[u],u,goal_drift,80,0.0125,17.0,2.0,0.025
esn_cusum[u],u,looping,80,0.0,,,0.0
esn_cusum[u],u,tool_cascade,80,0.0,,,0.0
esn_cusum[u],u,grounding_loss,80,1.0,6.0,7.0,6.7625
esn_cusum[u],u,context_corruption,80,0.7375,9.0,5.0,3.95
esn_cusum[m],m,goal_drift,80,0.0,,,0.0
esn_cusum[m],m,looping,80,0.1875,12.0,2.0,0.7875
esn_cusum[m],m,tool_cascade,80,0.9875,4.0,10.0,9.525
esn_cusum[m],m,grounding_loss,80,0.025,14.0,1.5,0.0375
esn_cusum[m],m,context_corruption,80,0.6875,12.0,2.0,2.15
"esn_cusum[e,u]","e,u",goal_drift,80,0.0,,,0.0
"esn_cusum[e,u]","e,u",looping,80,0.9625,6.0,8.0,7.6375
"esn_cusum[e,u]","e,u",tool_cascade,80,0.9875,4.0,10.0,9.6875
"esn_cusum[e,u]","e,u",grounding_loss,80,0.1875,9.0,3.0,0.7625
"esn_cusum[e,u]","e,u",context_corruption,80,1.0,3.0,10.0,10.725
esn_cusum_max,"max(e,u,m)",goal_drift,80,0.0,,,0.0
esn_cusum_max,"max(e,u,m)",looping,80,0.8375,9.0,5.0,4.4625
esn_cusum_max,"max(e,u,m)",tool_cascade,80,0.9875,4.0,10.0,9.8125
esn_cusum_max,"max(e,u,m)",grounding_loss,80,0.8625,9.0,3.0,3.275
esn_cusum_max,"max(e,u,m)",context_corruption,80,0.9375,7.0,6.0,5.7
self_drift,e (self-consistency),goal_drift,80,0.3625,6.0,7.0,2.4125
self_drift,e (self-consistency),looping,80,0.0,,,0.0
self_drift,e (self-consistency),tool_cascade,80,0.0,,,0.0
self_drift,e (self-consistency),grounding_loss,80,0.0375,1.0,11.0,0.425
self_drift,e (self-consistency),context_corruption,80,0.4875,7.0,9.0,3.7125
